t,x,y,z,vx,vy,vz,earth_x,earth_y,earth_z,moon_x,moon_y,moon_z,sx,sy,sz
0,-27911484620.500397,132057667162.60049,57292476170.974304,-29152.363503328186,-5688.178462123492,-2489.0396326831915,-27566740482.811371,132361381153.54875,57418653286.253654,-27858348866.999229,132094664319.6947,57342550798.947128,1.1679711468219547,0.0081906811858619075,-0.094095695767386592
7178.2738505157968,-28120674395.03989,132016730321.13329,57274570723.697334,-29131.793481798803,-5717.5653974631368,-2499.7409504363336,-27780517022.475037,132325133120.25677,57402938062.096756,-28067459286.350765,132053677342.80643,57324684626.882309,1.1680599951121939,0.0048723503979335439,-0.094192106831265471
14356.547701031594,-28329716784.230698,131975582922.88136,57256588641.939926,-29111.299104675691,-5746.8434003916736,-2510.391630356607,-27994237273.854195,132288598926.1552,57387098925.697716,-28276421165.525742,132012489928.87285,57306719065.406281,1.1680990701727019,0.0015539197589816587,-0.094228800718212574
21534.821551547389,-28538612328.761814,131934225751.60573,57238530284.666145,-29090.879742743793,-5776.0119539018178,-2520.9929273148123,-28207900757.393509,132251778632.79778,57371135903.069328,-28485235688.900917,131971103456.09518,57288654766.798737,1.1680884548411237,-0.0017619165277143669,-0.094205916642792847
28713.095402063187,-28747361565.099815,131892659595.02443,57220396001.976074,-29070.534848867275,-5805.0704727610473,-2531.5460563547117,-28421506993.434738,132214672302.71289,57355049020.607964,-28693904059.736382,131929519276.39478,57270492375.112198,1.1680282896288825,-0.005072476411426532,-0.094123609733828897
35891.369252578981,-28955965026.080002,131850885245.29642,57202186135.38649,-29050.26395852898,-5834.0183051582826,-2542.0521941367956,-28635055502.22229,132177279999.40422,57338838305.094193,-28902427499.817352,131887738715.33926,57252232526.11573,1.1679187723277442,-0.0083750907138119748,-0.093982050958485983
43069.643103094779,-29164423241.501324,131808903499.49364,57183901018.101257,-29030.066690346459,-5862.8547343271239,-2552.5124803706558,-28848545803.908699,132139601787.35156,57322503783.693436,-29110807249.100124,131845763072.06679,57233875847.238182,1.1677601575872831,-0.011667103849602845,-0.09378142707180373
50247.916953610576,-29372736738.72493,131766715160.06152,57165540975.271446,-29009.942746566438,-5891.5789801414758,-2562.9280192448364,-29061977418.560135,132101637732.01152,57306045483.956543,-29319044565.361824,131803593619.20822,57215422957.51104,1.1675527564637753,-0.014945874545536969,-0.09352194059055613
57426.190804126374,-29580906043.276196,131724321035.26817,57147106324.245155,-28989.891913540054,-5920.1902006790706,-2573.2998808625734,-29275349866.161785,132063387899.81836,57289463433.82045,-29527140723.853485,131761231602.80733,57196874467.510658,1.1672969359390628,-0.018208776556625159,-0.093203809791627346
64604.464654642165,-29788931679.450104,131681721939.64247,57128597374.806992,-28969.914062181615,-5948.6874937480316,-2583.6291026915383,-29488662666.623245,132024852358.18484,57272757661.608833,-29735097016.956169,131718678242.23863,57178230979.299995,1.1669931184096214,-0.021453199376993918,-0.092827268734787083
71782.738505157962,-29996814170.919876,131638918694.40132,57110014429.407074,-28950.009148413978,-5977.0698983713446,-2593.9166910351764,-29701915339.783878,131986031175.50302,57255928196.032715,-29942914753.839638,131675934730.12328,57159493086.369652,1.166641781145753,-0.024676548943686989,-0.092392567309437512
78961.012355673753,-30204554041.348743,131595912127.86649,57091357783.379387,-28930.177213604406,-6005.3363962237963,-2604.1636225331231,-29915107405.418121,131946924421.14517,57238975066.191116,-30150595260.123249,131633002232.2424,57140661373.578247,1.1662434557198684,-0.027876248331660639,-0.091899971305893474
86139.286206189558,-30412151815.004845,131552703075.8712,57072627725.1492,-28910.41838499493,-6033.485913015531,-2614.370845697712,-30128238383.240784,131907532165.4646,57221898301.571747,-30358139877.538712,131589881887.44852,57121736417.092102,1.1657987274046566,-0.031049738437585992,-0.091349762511432286
93317.560056705363,-30619608017.379192,131509292382.15714,57053824536.429344,-28890.732876132031,-6061.517319816252,-2624.5392824933774,-30341307792.912338,131867854479.79663,57204697932.051628,-30565549963.594307,131546574807.57443,57102718784.324165,1.1653082345400307,-0.03419447865097993,-0.090742238831631142
100495.83390722115,-30826923175.806755,131465680898.76207,57034948492.404976,-28871.120987300787,-6089.4294343136417,-2634.669829965474,-30554315154.044159,131827891436.45956,57187373987.897797,-30772826891.240196,131503082077.34006,57083609033.872177,1.1647726678692529,-0.037307947510999986,-0.090077714437737114
107674.10775773694,-31034097820.090672,131421869486.39876,57015999861.906425,-28851.583105969217,-6117.2210219993849,-2644.7633619247681,-30767259986.203793,131787643108.75555,57169926499.767967,-30979972048.534565,131459404754.25694,57064407715.456085,1.1641927698441892,-0.040387643346083239,-0.089356519940723439
114852.38160825275,-31241132483.129711,131377859014.82561,56996978907.569756,-28832.119707249432,-6144.8907972758798,-2654.8207306938525,-30980141808.920223,131747109570.97168,57152355498.71122,-31186986838.310135,131415543868.53075,57045115369.854607,1.163569333898776,-0.043431084896058333,-0.088579002593386594
122030.65545876854,-31448027701.549141,131333650363.20966,56977885885.98455,-28812.731354382257,-6172.4374244763694,-2664.8427689212081,-31192960141.689072,131706290898.38095,57134661016.168724,-31393872677.840786,131371500422.96156,57025732528.841072,1.1629032036917961,-0.046435811913845874,-0.087745526521078296
129208.92930928433,-31654784016.335159,131289244420.48267,56958721047.8284,-28793.418699253391,-6199.8595187910923,-2674.8302914689634,-31405714503.977886,131665187167.24332,57116843083.974411,-31600630998.507946,131327275392.84215,57006259715.118416,1.1621952723171813,-0.049399385745966438,-0.086856472983368918
136387.20315980012,-31861401973.47319,131244642085.69081,56939484637.987564,-28774.1824829494,-6227.1556470916275,-2684.7840973800576,-31618404415.231388,131623798454.80673,57098901734.355713,-31807263245.466461,131282869725.8544,56986697442.253433,1.1614464814835128,-0.052319389889437712,-0.085912240666934259
143565.47701031592,-32067882124.590324,131199844268.33891,56920176895.663239,-28755.02353636282,-6254.3243286454317,-2694.7049719304714,-31831029394.87672,131582124839.3083,57080836999.934296,-32013770877.309555,131238284341.96382,56967046214.610214,1.1606578206608449,-0.05519343052439888,-0.084913246012259913
150743.75086083173,-32274225027.602325,131154851888.72992,56900798054.4627,-28735.942780856723,-6281.3640357122949,-2704.5936887724597,-32043588962.328743,131540166399.97528,57062648913.726768,-32220155365.732727,131193520133.3123,56947306527.282822,1.1598303261955398,-0.058019137020231787,-0.083859923575587775
157922.02471134751,-32480431247.365631,131109665878.30058,56881348342.474808,-28716.941228999935,-6308.2731940141448,-2714.4510121746393,-32256082636.995323,131497923217.02626,57044337509.145439,-32426418195.196121,131148577964.10938,56927478866.027306,1.1589650803926372,-0.060794162414377774,-0.082752726428447901
165100.29856186331,-32686501356.334953,131064287179.95427,56861827982.328979,-28698.019985385206,-6335.0501830693956,-2724.2776993649368,-32468509938.282661,131455395371.67232,57025902819.999062,-32632560862.585285,131103458670.52184,56907563707.192879,1.1580632105646607,-0.063516183862391357,-0.081592126596285106
172278.57241237912,-32892435935.226727,131018716748.39209,56842237191.237434,-28679.180247539625,-6361.6933363789676,-2734.0745029776344,-32680870385.600601,131412582946.1181,57007344880.493599,-32838584876.869877,131058163060.56213,56887561517.652542,1.1571258880462461,-0.066182903057466241,-0.080378615538839487
179552.08676923456,-33100965195.094509,130972347118.24516,56822314849.937134,-28660.17500476151,-6388.551722282401,-2743.9715775210889,-32895979724.020634,131368912306.58553,56988415037.733932,-33047222926.968597,131012087431.5381,56867205639.439987,1.156141212095358,-0.068826267244677816,-0.079095558866578555
186825.60112609001,-33309356533.556927,130925782644.89757,56802320628.534615,-28641.256214346373,-6415.2691093018811,-2753.8395225343306,-33111019429.31303,131324949658.22415,56969358724.322014,-33255742309.858707,130965832358.39514,56846761340.995697,1.1551226905679657,-0.071408179314560477,-0.077759256299690563
194099.11548294549,-33517610584.982735,130879024360.70949,56782254736.051056,-28622.425421166976,-6441.8436186888403,-2763.6791233545614,-33325989001.549026,131280695089.68332,56950175977.096237,-33464144631.156658,130919398592.5661,56826229077.806633,1.1540716737662946,-0.073926327671283709,-0.076370283704650294
201372.62983980094,-33725727995.351772,130832073311.88562,56762117375.7724,-28603.684273331273,-6468.2733222551724,-2773.4911722046841,-33540887940.826721,131236148690.66479,56930866833.316994,-33672431507.74247,130872786855.32028,56805609295.06929,1.1529895538459012,-0.07637842802639877,-0.074929239982596652
208646.14419665639,-33933709423.012177,130784930558.83731,56741908745.187263,-28585.034523961647,-6494.556241647786,-2783.2764715171106,-33755715747.276924,131191310551.924,56911431330.667503,-33880604567.380772,130825997837.63942,56784902427.612503,1.151877763569602,-0.078762223670864412,-0.073436747855601558
215919.65855351184,-34141555539.451389,130737597176.5507,56721629035.900108,-28566.478033208066,-6520.6903474054297,-2793.0358374276166,-33970471921.069099,131146180765.27132,56891869507.254684,-34088665448.338219,130779032200.09348,56764108899.819801,1.150737775019006,-0.08107548570948625,-0.071893454718354469
