# JPL Horizons, earth (COMMAND=399)
# center=SSB(500@0) frame=ICRF/FRAME units=KM-S corr=NONE
# jdtdb,x_km,y_km,z_km,vx_kms,vy_kms,vz_kms
2451545.000000000,-2.756674048281145E+07,1.323613811535491E+08,5.741865328625385E+07,-2.978494749851088E+01,-5.029753814928081E+00,-2.180645069035755E+00
2451575.000000000,-9.757821521824911E+07,1.017539977659455E+08,4.414849505237919E+07,-2.299553641941371E+01,-1.801291683130197E+01,-7.808908890711392E+00
2451605.000000000,-1.413775847073649E+08,4.334410472445154E+07,1.882457695525211E+07,-1.007691361115965E+01,-2.599252477755234E+01,-1.126815758200890E+01
2451635.000000000,-1.476812212658448E+08,-2.683809589975132E+07,-1.160327450640087E+07,5.243876953466925E+00,-2.694336224385976E+01,-1.168047073765173E+01
2451665.000000000,-1.156671128197101E+08,-9.021506192694744E+07,-3.908083854188623E+07,1.885006099222782E+01,-2.092379136447472E+01,-9.071166848475727E+00
2451695.000000000,-5.436026256850755E+07,-1.307714123207015E+08,-5.666470502930718E+07,2.741283788897443E+01,-9.749457052171772E+00,-4.227300345188906E+00
2451725.000000000,2.036657689866968E+07,-1.387316400453694E+08,-6.011671956157652E+07,2.903495403667895E+01,3.706080817786292E+00,1.605576817604946E+00
2451755.000000000,8.981815242975321E+07,-1.123689250834885E+08,-4.868816760445219E+07,2.343546120945153E+01,1.621107933944643E+01,7.026707910682202E+00
2451785.000000000,1.366296672854053E+08,-5.814585737394735E+07,-2.518078801314906E+07,1.189923956630925E+01,2.476431874132877E+01,1.073513849435429E+01
2451815.000000000,1.486169554133545E+08,1.059063498817279E+07,4.618984234343680E+06,-2.901777987177710E+00,2.714133287049495E+01,1.176634785861632E+01
2451845.000000000,1.219276110386899E+08,7.634873880074561E+07,3.312763990157054E+07,-1.729635336450458E+01,2.245876287300970E+01,9.737018749792568E+00
2451875.000000000,6.273540013878250E+07,1.216217771293883E+08,5.275514068533394E+07,-2.737822076960255E+01,1.164583346102651E+01,5.049685024910782E+00
2451905.000000000,-1.358002953167325E+07,1.337849892033774E+08,5.802794090622094E+07,-3.015760939151477E+01,-2.503136393769740E+00,-1.084369068511492E+00
2451935.000000000,-8.636265361112216E+07,1.092106180529507E+08,4.737312329954100E+07,-2.470685376985002E+01,-1.601713923328495E+01,-6.943560224235619E+00
2451965.000000000,-1.358322599006056E+08,5.468529131995148E+07,2.373294449469234E+07,-1.261955007294770E+01,-2.507283284811643E+01,-1.087020428283962E+01
2451995.000000000,-1.490602957618597E+08,-1.475821250356095E+07,-6.375140663597274E+06,2.587728245608325E+00,-2.730295020563054E+01,-1.183777895568291E+01
2452025.000000000,-1.233473564488823E+08,-8.059775039424647E+07,-3.492079723837668E+07,1.676825115922134E+01,-2.240811241360772E+01,-9.716283787543958E+00
2452055.000000000,-6.616001849547815E+07,-1.260519419649425E+08,-5.462853830097471E+07,2.639190430536149E+01,-1.194368656444207E+01,-5.179796822932286E+00
2452085.000000000,7.551893805852305E+06,-1.400677583165360E+08,-6.070630008308976E+07,2.928768474460863E+01,1.346138496489639E+00,5.821851904273613E-01
2452115.000000000,7.928160613188018E+07,-1.194537896876430E+08,-5.177033336972100E+07,2.489392478416756E+01,1.424478429098989E+01,6.175048775973986E+00
2452145.000000000,1.311378775938274E+08,-6.929415001792827E+07,-3.002476538088010E+07,1.423510341918949E+01,2.367207215365972E+01,1.026303464603381E+01
2452175.000000000,1.497745440552938E+08,-1.889479537767995E+06,-8.025194556730412E+05,-2.371355758485090E-01,2.723095828147737E+01,1.180653339334893E+01
2452205.000000000,1.297061602589315E+08,6.573060300125294E+07,2.851317924001988E+07,-1.498494060760411E+01,2.376752438265214E+01,1.030508311710525E+01
2452235.000000000,7.532808865846589E+07,1.157170222300624E+08,5.018381853002281E+07,-2.607225526088906E+01,1.387470505115817E+01,6.015769930848216E+00
2452265.000000000,6.039355857059063E+05,1.342480478178843E+08,5.821695451408891E+07,-3.026121842045046E+01,4.602495088704129E-02,1.979639000044904E-02
2452295.000000000,-7.433086064345659E+07,1.159214906315936E+08,5.027045125800049E+07,-2.620363990999693E+01,-1.387220318413807E+01,-6.015082656250412E+00
2452325.000000000,-1.290712114902031E+08,6.575626112531142E+07,2.852025367975925E+07,-1.506547646230285E+01,-2.392716725407824E+01,-1.037491873793435E+01
2452355.000000000,-1.491487278437812E+08,-2.365095107704832E+06,-1.014846779735550E+06,-1.096279717105052E-01,-2.742872788858676E+01,-1.189320142611132E+01
2452385.000000000,-1.299829455091293E+08,-7.013996776438099E+07,-3.039971497970097E+07,1.452792818840114E+01,-2.371226686251794E+01,-1.028165549656493E+01
2452415.000000000,-7.739722759462251E+07,-1.201451716447527E+08,-5.208047768037716E+07,2.514162260655213E+01,-1.405167799831819E+01,-6.092633187205232E+00
2452445.000000000,-5.294533224135091E+06,-1.401179873220069E+08,-6.074060897783123E+07,2.929703351509506E+01,-1.036611230668303E+00,-4.491815940397970E-01
2452475.000000000,6.813983273288320E+07,-1.254157663707090E+08,-5.436732963065301E+07,2.615022690816720E+01,1.215535352988266E+01,5.270660938917588E+00
2452505.000000000,1.246131020266760E+08,-7.970919959483072E+07,-3.455216034993395E+07,1.645522582291754E+01,2.238438550294252E+01,9.705408723102364E+00
2452535.000000000,1.497202794354995E+08,-1.417252685117883E+07,-6.139783646726385E+06,2.427967825366033E+00,2.709595271340416E+01,1.174761594810630E+01
2452565.000000000,1.364041556274920E+08,5.474951087683051E+07,2.374012432244319E+07,-1.254953592353482E+01,2.487734613195414E+01,1.078502288378104E+01
2452595.000000000,8.727091209212726E+07,1.090159430959210E+08,4.726588498588924E+07,-2.454428995076173E+01,1.598784651157723E+01,6.930317678275383E+00
2452625.000000000,1.476179383918068E+07,1.337452288476014E+08,5.798581320772800E+07,-3.010611547468605E+01,2.602562436934766E+00,1.126795147063204E+00
2452655.000000000,-6.169373724792066E+07,1.218233611580267E+08,5.281584838402597E+07,-2.748499532341517E+01,-1.159658235440171E+01,-5.029167734895771E+00
2452685.000000000,-1.212609594655863E+08,7.645167933527501E+07,3.314402479667115E+07,-1.740434622042956E+01,-2.257053469828764E+01,-9.786427392988166E+00
2452715.000000000,-1.480543623751690E+08,1.022260347412713E+07,4.429797765706717E+06,-2.832537437313557E+00,-2.732921837417670E+01,-1.184875638452951E+01
2452745.000000000,-1.356268783868068E+08,-5.894602044983670E+07,-2.555862551432040E+07,1.214757216001903E+01,-2.483808212073489E+01,-1.076791503698401E+01
2452775.000000000,-8.808610710925798E+07,-1.131221961824547E+08,-4.904698677968059E+07,2.368117243115802E+01,-1.606711701162428E+01,-6.964823824389952E+00
2452805.000000000,-1.817027623437009E+07,-1.389102969513028E+08,-6.022782129987848E+07,2.907815067362848E+01,-3.426139266251447E+00,-1.484496962250048E+00
2452835.000000000,5.638740927579138E+07,-1.302386700002848E+08,-5.646894862929782E+07,2.720845119389792E+01,9.965809981050072E+00,4.320897267455955E+00
2452865.000000000,1.170184650169596E+08,-8.933926403376180E+07,-3.873811305696515E+07,1.854853858242351E+01,2.092365789855884E+01,9.070802716626140E+00
2452895.000000000,1.483676107639496E+08,-2.618927776575083E+07,-1.136087720665285E+07,5.069314798460868E+00,2.674970848461720E+01,1.159597916522826E+01
2452925.000000000,1.418778130573672E+08,4.346690633563980E+07,1.883695539148554E+07,-1.002039219472761E+01,2.578718492994955E+01,1.117835907265808E+01
2452955.000000000,9.837213862836404E+07,1.015450957714154E+08,4.401522512297329E+07,-2.282022506785905E+01,1.796896973222930E+01,7.788927693619459E+00
2452985.000000000,2.868200348957054E+07,1.322485456348274E+08,5.732548901873323E+07,-2.970477863271607E+01,5.139886082954987E+00,2.227464680563782E+00
2453015.000000000,-4.864560491087339E+07,1.268331595085581E+08,5.497690371383626E+07,-2.854669224129064E+01,-9.217805657246599E+00,-3.996461290562801E+00
2453045.000000000,-1.125502190297123E+08,8.665294238933288E+07,3.755652453792632E+07,-1.961865725844985E+01,-2.102372782672805E+01,-9.114086207460199E+00
2453075.000000000,-1.458718928990557E+08,2.287713485582286E+07,9.906644652133981E+06,-5.555784797970439E+00,-2.701525439619060E+01,-1.171124593288549E+01
2453105.000000000,-1.403270452661569E+08,-4.713211516135971E+07,-2.044563289977767E+07,9.655616776128218E+00,-2.578470049709737E+01,-1.117788440122948E+01
2453135.000000000,-9.824018172782202E+07,-1.050745802952546E+08,-4.556652622119848E+07,2.203640427881687E+01,-1.797622482514842E+01,-7.793216243111718E+00
2453165.000000000,-3.106845560663854E+07,-1.365026103169217E+08,-5.919244774197916E+07,2.864622144269256E+01,-5.798016590924528E+00,-2.514253921379994E+00
2453195.000000000,4.403428495732382E+07,-1.339408204629531E+08,-5.808255844273867E+07,2.806723829717507E+01,7.704043063935673E+00,3.338825158997011E+00
2453225.000000000,1.083448642967034E+08,-9.816419075515144E+07,-4.257280861014008E+07,2.049659910582226E+01,1.931209766688778E+01,8.371198967212035E+00
2453255.000000000,1.456653264497837E+08,-3.789428013541957E+07,-1.644420747220846E+07,7.656378342605833E+00,2.620086849784138E+01,1.135801343591571E+01
2453285.000000000,1.460192986209474E+08,3.192708594965264E+07,1.382547760965652E+07,-7.430850121140314E+00,2.648745903527530E+01,1.148283744126834E+01
2453315.000000000,1.084701677845684E+08,9.331399414851104E+07,4.043869656937090E+07,-2.092526858546134E+01,1.979099163416455E+01,8.580357066001028E+00
2453345.000000000,4.217278288778935E+07,1.297049104667978E+08,5.621536969292453E+07,-2.906392207789481E+01,7.620468011578395E+00,3.304559444023096E+00
2453375.000000000,-3.536854424885470E+07,1.308255161714492E+08,5.670111865015088E+07,-2.937160296075364E+01,-6.772010698103960E+00,-2.934870324006457E+00
2453405.000000000,-1.030703906302784E+08,9.617751176206312E+07,4.167980770184511E+07,-2.167108234053875E+01,-1.930825141914037E+01,-8.370035565113838E+00
2453435.000000000,-1.426580309866654E+08,3.539342373876891E+07,1.532739521232277E+07,-8.234474245500040E+00,-2.648552903666644E+01,-1.148233411058667E+01
2453465.000000000,-1.440668528826216E+08,-3.488790350854106E+07,-1.514260807365322E+07,7.088557249143896E+00,-2.652958582192772E+01,-1.150225748885951E+01
2453495.000000000,-1.077903798835967E+08,-9.614959867020413E+07,-4.170240632851193E+07,2.022425418692639E+01,-1.974534940918252E+01,-8.561592244472518E+00
2453525.000000000,-4.389637251734643E+07,-1.329885987354674E+08,-5.767408190317646E+07,2.799675017512502E+01,-8.120086116348558E+00,-3.521651829570188E+00
2453555.000000000,3.116731194818864E+07,-1.365651233843884E+08,-5.922512913611145E+07,2.870584286288542E+01,5.392087559271522E+00,2.336808084867484E+00
2453585.000000000,9.864865094336610E+07,-1.061887760362568E+08,-4.605614226133580E+07,2.227072723902556E+01,1.755826414073905E+01,7.611995473077598E+00
2453615.000000000,1.416239292233859E+08,-4.927378928399287E+07,-2.138143713747892E+07,1.016040482478152E+01,2.544449608773405E+01,1.103168808273465E+01
2453645.000000000,1.487890976821657E+08,2.013934589791345E+07,8.711877736853274E+06,-4.803235131141300E+00,2.696183911111430E+01,1.169002611491048E+01
2453675.000000000,1.174834733463879E+08,8.430502072365203E+07,3.653033258200891E+07,-1.886984869129321E+01,2.142987117511864E+01,9.291845244111263E+00
2453705.000000000,5.513055649722501E+07,1.260522424562516E+08,5.462954121689347E+07,-2.817851830689007E+01,1.001818208012408E+01,4.344118038844021E+00
2453735.000000000,-2.195999941437036E+07,1.336870000455714E+08,5.793960090292527E+07,-2.993945211877144E+01,-4.279839512016527E+00,-1.855330951880438E+00
2453765.000000000,-9.288409988285892E+07,1.048680676784992E+08,4.544551841050439E+07,-2.353209710372210E+01,-1.743231930263412E+01,-7.558209634124110E+00
2453795.000000000,-1.384212918039044E+08,4.759099130916732E+07,2.061373974244637E+07,-1.084055023897579E+01,-2.573314610212717E+01,-1.115745569317244E+01
2453825.000000000,-1.467971209285100E+08,-2.238944157353482E+07,-9.725458741196139E+06,4.463244015482327E+00,-2.705500652554745E+01,-1.173053612260749E+01
2453855.000000000,-1.166419082320818E+08,-8.649423859517640E+07,-3.751732694184475E+07,1.824731264159704E+01,-2.135410069862946E+01,-9.258478838461128E+00
2453885.000000000,-5.653547000180252E+07,-1.284708387047837E+08,-5.571570103578881E+07,2.712150151663080E+01,-1.037519075766516E+01,-4.497971749851191E+00
2453915.000000000,1.790479428433727E+07,-1.381644437667337E+08,-5.991807296085810E+07,2.911038082242710E+01,3.041611000243130E+00,1.319383987292208E+00
2453945.000000000,8.802494346919794E+07,-1.134208273203400E+08,-4.919053163609736E+07,2.385442961978022E+01,1.566756335072134E+01,6.793592465806157E+00
2453975.000000000,1.362949534382268E+08,-6.030478617826106E+07,-2.616244769483537E+07,1.256450552182643E+01,2.447885646321487E+01,1.061361811828452E+01
2454005.000000000,1.501822120379300E+08,8.133794278166393E+06,3.508507321803461E+06,-2.151345405437317E+00,2.720055139223655E+01,1.179319210024056E+01
2454035.000000000,1.253520860319680E+08,7.452555961392996E+07,3.229202597050353E+07,-1.665972413099202E+01,2.286899421107223E+01,9.914645175775041E+00
2454065.000000000,6.746058437621847E+07,1.212485055616514E+08,5.254830467617150E+07,-2.704255466480116E+01,1.231461019739525E+01,5.338230005436793E+00
2454095.000000000,-8.515144161300752E+06,1.353143783877643E+08,5.864649968847094E+07,-3.023399798794991E+01,-1.753910980247449E+00,-7.614157437961999E-01
2454125.000000000,-8.205186081910142E+07,1.125708365435635E+08,4.878651552463219E+07,-2.518266305248230E+01,-1.539719694553009E+01,-6.676178524715915E+00
2454155.000000000,-1.331661264751433E+08,5.929385341673043E+07,2.568932073391982E+07,-1.336074181655173E+01,-2.474984508946394E+01,-1.073029309927993E+01
2454185.000000000,-1.484668520544563E+08,-9.803797636923198E+06,-4.266515332335258E+06,1.783655281565740E+00,-2.734971776159375E+01,-1.185664390110412E+01
2454215.000000000,-1.247055584701036E+08,-7.624534756013598E+07,-3.307068069884048E+07,1.610340507814596E+01,-2.279359874870176E+01,-9.880783023151407E+00
2454245.000000000,-6.887924072118841E+07,-1.230485182923635E+08,-5.336083519973532E+07,2.601748125246236E+01,-1.255818696582520E+01,-5.443127399090531E+00
2454275.000000000,4.354360275977936E+06,-1.388019577216299E+08,-6.018984720735358E+07,2.928011211175883E+01,6.560931574263740E-01,2.855529511891154E-01
2454305.000000000,7.657058619626752E+07,-1.198911972042509E+08,-5.199080085894407E+07,2.524849709804778E+01,1.364475377584515E+01,5.916077510752434E+00
2454335.000000000,1.297518025029950E+08,-7.099035872667399E+07,-3.079019513654327E+07,1.486737775159319E+01,2.331087834169542E+01,1.010595529496468E+01
2454365.000000000,1.502339344684284E+08,-4.075046472575915E+06,-1.779948368492844E+06,5.183300245966056E-01,2.721015066243221E+01,1.179576805798726E+01
2454395.000000000,1.320638346204432E+08,6.398695758869744E+07,2.772734534380055E+07,-1.430601956671092E+01,2.411003947117237E+01,1.045146395550589E+01
2454425.000000000,7.911069580207439E+07,1.152743974372021E+08,4.996239579492495E+07,-2.566722771509864E+01,1.450409427227178E+01,6.287172680609624E+00
2454455.000000000,4.902371226379422E+06,1.356377128136150E+08,5.879102513738842E+07,-3.026129883705417E+01,7.942478780906339E-01,3.441888796303373E-01
2454485.000000000,-7.061088196548899E+07,1.191648385693086E+08,5.165021524057807E+07,-2.662112784852334E+01,-1.321710262315068E+01,-5.729321795486377E+00
2454515.000000000,-1.268753487993686E+08,7.034891375322193E+07,3.048784042395112E+07,-1.578517294331716E+01,-2.354843344478002E+01,-1.020766123239100E+01
2454545.000000000,-1.489951451047818E+08,2.712246750386309E+06,1.166125158813865E+06,-9.331479622958326E-01,-2.742092672384396E+01,-1.188638464185049E+01
2454575.000000000,-1.318445112124442E+08,-6.553660644452099E+07,-2.842108900900437E+07,1.381274584453249E+01,-2.406256395574265E+01,-1.043079044507243E+01
2454605.000000000,-8.075442995438096E+07,-1.168132399193740E+08,-5.065050789050054E+07,2.470275914284435E+01,-1.465912357356050E+01,-6.354768171507640E+00
2454635.000000000,-9.298738977689980E+06,-1.385182243345133E+08,-6.005991142573501E+07,2.922691939446576E+01,-1.747907118559817E+00,-7.580793256768412E-01
2454665.000000000,6.445893449993356E+07,-1.255899717677380E+08,-5.445489931383725E+07,2.645614900569656E+01,1.150992823027717E+01,4.989046941448416E+00
