# JPL Horizons, jupiter_bary (COMMAND=5)
# center=SSB(500@0) frame=ICRF/FRAME units=KM-S corr=NONE
# jdtdb,x_km,y_km,z_km,vx_kms,vy_kms,vz_kms
2451545.000000000,5.974998767925479E+08,4.089903139317586E+08,1.607562819387201E+08,-7.900525116640771E+00,1.017179630923791E+01,4.552467787262923E+00
2451575.000000000,5.763788761200371E+08,4.349014285557476E+08,1.723772470179653E+08,-8.393381575082662E+00,9.817872184864697E+00,4.412759433252734E+00
2451605.000000000,5.540054539983475E+08,4.598685768822278E+08,1.836240774052695E+08,-8.866718068606337E+00,9.443595118060715E+00,4.263851152315329E+00
2451635.000000000,5.304315873990635E+08,4.838403314162657E+08,1.944734622804148E+08,-9.319480941007749E+00,9.049997599648758E+00,4.106159913821116E+00
2451665.000000000,5.057118889079788E+08,5.067680032582116E+08,2.049032006782760E+08,-9.750690697657117E+00,8.638159373696299E+00,3.940124754595502E+00
2451695.000000000,4.799034108992147E+08,5.286057577675619E+08,2.148922558622292E+08,-1.015944465433046E+01,8.209202182182166E+00,3.766204597572917E+00
2451725.000000000,4.530654438625799E+08,5.493107164559613E+08,2.244208039431781E+08,-1.054491883806877E+01,7.764284303767394E+00,3.584875951088200E+00
2451755.000000000,4.252593101239424E+08,5.688430441011845E+08,2.334702762456160E+08,-1.090636973073459E+01,7.304594699090792E+00,3.396630431499891E+00
2451785.000000000,3.965481534582516E+08,5.871660210775459E+08,2.420233954368824E+08,-1.124313553499094E+01,6.831347544034246E+00,3.201972459220514E+00
2451815.000000000,3.669967266815076E+08,6.042461018888342E+08,2.500642058054690E+08,-1.155463651457675E+01,6.345776936779963E+00,3.001416995887628E+00
2451845.000000000,3.366711789879688E+08,6.200529597885028E+08,2.575780975600083E+08,-1.184037491118285E+01,5.849131485451566E+00,2.795487211250086E+00
2451875.000000000,3.056388439708872E+08,6.345595174840904E+08,2.645518251221995E+08,-1.209993447806762E+01,5.342669012788511E+00,2.584712195931034E+00
2451905.000000000,2.739680294945828E+08,6.477419643855762E+08,2.709735196051150E+08,-1.233297950872014E+01,4.827651460453406E+00,2.369624758117430E+00
2451935.000000000,2.417278106421063E+08,6.595797608578041E+08,2.768326956671302E+08,-1.253925345663370E+01,4.305339978409558E+00,2.150759293801955E+00
2451965.000000000,2.089878267666636E+08,6.700556300523006E+08,2.821202529425948E+08,-1.271857715046968E+01,3.776990214644513E+00,1.928649714395229E+00
