# JPL Horizons, mars_bary (COMMAND=4)
# center=SSB(500@0) frame=ICRF/FRAME units=KM-S corr=NONE
# jdtdb,x_km,y_km,z_km,vx_kms,vy_kms,vz_kms
2451545.000000000,2.069804338364514E+08,-1.864170114371795E+05,-5.667227497526179E+06,1.171985008531777E+00,2.390670819417074E+01,1.093392063330765E+01
2451575.000000000,1.998976486619146E+08,6.077391708497617E+07,2.248575840236583E+07,-6.534903614937023E+00,2.275894495358841E+01,1.061583811924463E+01
2451605.000000000,1.739765236018097E+08,1.160531033618033E+08,4.854227840126486E+07,-1.324166012670428E+01,1.960178474466555E+01,9.349063050348191E+00
2451635.000000000,1.326188362433758E+08,1.611307929019718E+08,7.033700614259100E+07,-1.837843408111767E+01,1.498936451007589E+01,7.372355261687138E+00
2451665.000000000,8.028425554302016E+07,1.930309926598168E+08,8.638436686341833E+07,-2.169310377894142E+01,9.533088678259125E+00,4.959333083874310E+00
2451695.000000000,2.174346968228993E+07,2.102973926864675E+08,9.588741514256504E+07,-2.318208689646860E+01,3.780016772469216E+00,2.360821297450372E+00
2451725.000000000,-3.844016630486666E+07,2.127464794354861E+08,9.863860892330047E+07,-2.299329864968212E+01,-1.838266027501750E+00,-2.212242414010329E-01
2451755.000000000,-9.619249257768467E+07,2.011594490681908E+08,9.488611885067172E+07,-2.134521159201460E+01,-7.006406729756259E+00,-2.636253512932274E+00
2451785.000000000,-1.480385682234038E+08,1.770077877642627E+08,8.521092913110264E+07,-1.847559696593311E+01,-1.150249337747958E+01,-4.776055413620896E+00
2451815.000000000,-1.911155014086807E+08,1.422476107054660E+08,7.043285260849528E+07,-1.461653054456632E+01,-1.516995135025156E+01,-6.562540472445159E+00
2451845.000000000,-2.231456425792041E+08,9.918333620809953E+07,5.154727855803804E+07,-9.987458891717189E+00,-1.789303386634693E+01,-7.936687069730308E+00
2451875.000000000,-2.424074654113657E+08,5.038658020900055E+07,2.968718452477199E+07,-4.799397638191759E+00,-1.957892836408415E+01,-8.850220952572919E+00
2451905.000000000,-2.477266643510950E+08,-1.347827456331987E+06,6.102721159230054E+06,7.342242719794897E-01,-2.014703033785874E+01,-9.260402270597062E+00
2451935.000000000,-2.385010698534107E+08,-5.302753940775616E+07,-1.784990076713632E+07,6.382641639409341E+00,-1.952564594133517E+01,-9.128109640538677E+00
2451965.000000000,-2.147675663142246E+08,-1.014904638620340E+08,-4.071934005506758E+07,1.188058354387809E+01,-1.765715649878153E+01,-8.419744670289203E+00
2451995.000000000,-1.773138139629405E+08,-1.434591084595749E+08,-6.098103018581659E+07,1.691146697450206E+01,-1.451380274603962E+01,-7.114017051252836E+00
2452025.000000000,-1.278277656030224E+08,-1.756526565086172E+08,-7.708454174899529E+07,2.109627071221644E+01,-1.012689110803736E+01,-5.215039326356233E+00
2452055.000000000,-6.905830943995982E+07,-1.949940148221298E+08,-8.754420418364218E+07,2.399826192101417E+01,-4.630760216913099E+00,-2.772620847479110E+00
2452085.000000000,-4.926514562373780E+06,-1.989456036188499E+08,-9.109010814012025E+07,2.515939061177152E+01,1.683628716079608E+00,9.217226332511237E-02
2452115.000000000,5.951720762611616E+07,-1.859779642646999E+08,-8.688419683936366E+07,2.418492878599136E+01,8.324514355309834E+00,3.164454099717914E+00
2452145.000000000,1.184222979395321E+08,-1.561017954562859E+08,-7.477322237357940E+07,2.087740737301159E+01,1.460207738482922E+01,6.133156118950151E+00
2452175.000000000,1.658421266131018E+08,-1.112848169618115E+08,-5.549897273633683E+07,1.538109129236080E+01,1.972010729910989E+01,8.629183098371913E+00
2452205.000000000,1.967371919050385E+08,-5.550209436347577E+07,-3.074845594049453E+07,8.252048072600006E+00,2.296245458196452E+01,1.030903175653066E+01
2452235.000000000,2.079709150468194E+08,5.752659234175803E+06,-2.956667704316599E+06,3.743804869002341E-01,2.390450857377426E+01,1.095404976131599E+01
2452265.000000000,1.988875709521298E+08,6.640795056740924E+07,2.510932760348938E+07,-7.266170142744235E+00,2.253191015933840E+01,1.053100483140114E+01
2452295.000000000,1.712393751942787E+08,1.208587657014544E+08,5.083133212314165E+07,-1.383366458179196E+01,1.919962102625762E+01,9.180108203035150E+00
2452325.000000000,1.285732195750900E+08,1.647348837246011E+08,7.210898977105299E+07,-1.879232597548479E+01,1.447503293302142E+01,7.147118995945325E+00
2452355.000000000,7.540904600857894E+07,1.952226361784048E+08,8.752957554992032E+07,-2.191977451983541E+01,8.966826038830469E+00,4.705205531134998E+00
2452385.000000000,1.651345298489366E+07,2.110085745536264E+08,9.636179468060601E+07,-2.323201472525382E+01,3.211085540409429E+00,2.100684465899275E+00
2452415.000000000,-4.359202116001870E+07,2.120204179179046E+08,9.845026160975896E+07,-2.288688962365789E+01,-2.373180921240587E+00,-4.699904087094465E-01
2452445.000000000,-1.008915365861862E+08,1.991199821786239E+08,9.408170541277051E+07,-2.110626149647143E+01,-7.481333465389144E+00,-2.861091574269683E+00
