# JPL Horizons, mercury (COMMAND=199)
# center=SSB(500@0) frame=ICRF/FRAME units=KM-S corr=NONE
# jdtdb,x_km,y_km,z_km,vx_kms,vy_kms,vz_kms
2451545.000000000,-2.052943316123468E+07,-6.032400395827633E+07,-3.013083786411830E+07,3.700430442920571E+01,-8.541376789510446E+00,-8.398372409672424E+00
2451575.000000000,5.274509234920840E+07,-5.004383460578727E+06,-8.175714429094357E+06,-2.780719573663038E+00,4.453036142819617E+01,2.407677288798656E+01
2451605.000000000,-5.179840123133762E+07,1.338081421098303E+07,1.249262903314696E+07,-2.610819250846296E+01,-3.982240630029222E+01,-1.856187643190613E+01
2451635.000000000,-1.385719029374252E+07,-6.154480426714801E+07,-3.145975799963742E+07,3.811310141487726E+01,-4.395296544431696E+00,-6.298708842216275E+00
2451665.000000000,5.164151723793437E+07,2.752175271637719E+06,-3.902834366008631E+06,-1.079833270716539E+01,4.462136780158604E+01,2.495691677896724E+01
2451695.000000000,-5.564601146359836E+07,6.171013610891613E+06,9.055568944138693E+06,-1.871483187765940E+01,-4.126920373286805E+01,-2.010153931236221E+01
2451725.000000000,-7.020057310319482E+06,-6.202319142394941E+07,-3.240940212788500E+07,3.876643767484029E+01,-1.849843891166791E-01,-4.117508629754954E+00
2451755.000000000,4.909551885236189E+07,1.042388756325196E+07,4.740562978679133E+05,-1.931359546653771E+01,4.342687667771084E+01,2.520194445277989E+01
2451785.000000000,-5.820514624020179E+07,-1.186238974707080E+06,5.405680846541539E+06,-1.156971754239083E+01,-4.166583248000389E+01,-2.105452290576882E+01
2451815.000000000,-1.006607657052530E+05,-6.174834459096971E+07,-3.296566630224347E+07,3.895442832501081E+01,4.069732451438346E+00,-1.864307774554267E+00
2451845.000000000,4.504042026619720E+07,1.776578538758842E+07,4.830824510790874E+06,-2.804741893903754E+01,4.073292382445135E+01,2.466863266742000E+01
2451875.000000000,-5.953422906974894E+07,-8.523354236253854E+06,1.638432538403647E+06,-4.802320779054562E+00,-4.117949915237742E+01,-2.149667681605530E+01
2451905.000000000,6.818777240097191E+06,-6.071318965680195E+07,-3.311636654507867E+07,3.866393798632566E+01,8.350605762087868E+00,4.524350367830598E-01
2451935.000000000,3.946808641841788E+07,2.450553961782406E+07,9.022593409765931E+06,-3.660058750131919E+01,3.638035652398523E+01,2.323058547749431E+01
2451965.000000000,-5.970860912568158E+07,-1.569715527086224E+07,-2.162119745110963E+06,1.509569492809049E+00,-3.995976162280166E+01,-2.149990840213895E+01
2451995.000000000,1.365007846760127E+07,-5.891242833158465E+07,-3.284998317778887E+07,3.787498444231039E+01,1.263472076216555E+01,2.822536620596792E+00
2452025.000000000,3.245151518298579E+07,3.034678506847066E+07,1.288304464486944E+07,-4.445099734677407E+01,3.032652029991311E+01,2.081085001812374E+01
2452055.000000000,-5.881629190765908E+07,-2.258904240450526E+07,-5.923924841112167E+06,7.323350300011765E+00,-3.813844719506720E+01,-2.113013278793023E+01
2452085.000000000,2.029951438980782E+07,-5.634916937517956E+07,-3.215861206330301E+07,3.656324245776926E+01,1.689455853724755E+01,5.233910976942017E+00
