# JPL Horizons, moon (COMMAND=301)
# center=SSB(500@0) frame=ICRF/FRAME units=KM-S corr=NONE
# jdtdb,x_km,y_km,z_km,vx_kms,vy_kms,vz_kms
2451545.000000000,-2.785834886699916E+07,1.320946643196950E+08,5.734255079894725E+07,-2.914141610952193E+01,-5.695841497884601E+00,-2.481970773696848E+00
2451575.000000000,-9.767847061765175E+07,1.013833794433908E+08,4.401821028433280E+07,-2.206358533765021E+01,-1.821870394236615E+01,-7.962450874080393E+00
2451605.000000000,-1.412571854170396E+08,4.298735982670978E+07,1.868082593681260E+07,-9.157852603884665E+00,-2.567563056242664E+01,-1.122385475289934E+01
2451635.000000000,-1.473806936557033E+08,-2.706950638669942E+07,-1.171556127208578E+07,5.847813534194912E+00,-2.619177889444594E+01,-1.144381498306277E+01
2451665.000000000,-1.152865661210431E+08,-9.024786414583346E+07,-3.912515021962737E+07,1.890875011725139E+01,-1.996954223469236E+01,-8.708638960952435E+00
2451695.000000000,-5.403336482136008E+07,-1.305972780984767E+08,-5.662557622984812E+07,2.685664846397001E+01,-8.929961675582540E+00,-3.860892344263968E+00
2451725.000000000,2.051660344272354E+07,-1.384193891099873E+08,-6.000886896236514E+07,2.803294755592976E+01,4.052764754328670E+00,1.830330154005688E+00
2451755.000000000,8.973119317479923E+07,-1.120469778244012E+08,-4.855524938552475E+07,2.238065915879969E+01,1.591508327966998E+01,7.006813492437297E+00
2451785.000000000,1.363417288419267E+08,-5.795046323901920E+07,-2.507897473672362E+07,1.123189185555785E+01,2.394726414328858E+01,1.047526995257610E+01
2451815.000000000,1.482458566472946E+08,1.057640089248528E+07,4.645955590365060E+06,-2.931798218619897E+00,2.615505876524729E+01,1.137917670462486E+01
2451845.000000000,1.216188309515412E+08,7.612700172079594E+07,3.306647844973545E+07,-1.672614920650395E+01,2.168558738416293E+01,9.375904368419036E+00
2451875.000000000,6.260400264266551E+07,1.212705479934116E+08,5.262547424902681E+07,-2.645483701384269E+01,1.133764896354424E+01,4.838664944211449E+00
2451905.000000000,-1.348566845299792E+07,1.334235833285146E+08,5.787265219579918E+07,-2.920808541686784E+01,-2.274822449655239E+00,-1.083380252388727E+00
2451935.000000000,-8.607137111314256E+07,1.089586847115989E+08,4.724332394231713E+07,-2.403843444300692E+01,-1.534340063822755E+01,-6.734833848332547E+00
2451965.000000000,-1.354393673533757E+08,5.462569937537062E+07,2.367195494784033E+07,-1.245427460576465E+01,-2.417085725112160E+01,-1.051792831422751E+01
2451995.000000000,-1.486992785455820E+08,-1.460693775877433E+07,-6.346128537521753E+06,2.167494326668391E+00,-2.647257606441656E+01,-1.145550471075806E+01
2452025.000000000,-1.231471470215570E+08,-8.029305035361569E+07,-3.481226912601200E+07,1.587203751681645E+01,-2.196256042260402E+01,-9.444495873943787E+00
2452055.000000000,-6.619524803679779E+07,-1.257142316492393E+08,-5.448283226159071E+07,2.533750321196150E+01,-1.209252277576457E+01,-5.138834670568767E+00
2452085.000000000,7.299131486140831E+06,-1.398369548013518E+08,-6.058379684664687E+07,2.850879501332360E+01,6.309393906157774E-01,3.584931518669010E-01
2452115.000000000,7.892092036088610E+07,-1.194273076820236E+08,-5.172351865615018E+07,2.472372547002950E+01,1.325976530548190E+01,5.776183540068506E+00
2452145.000000000,1.308207153005998E+08,-6.948245178304595E+07,-3.007409396017288E+07,1.471972867707717E+01,2.282817760167564E+01,9.857586512749240E+00
2452175.000000000,1.496259467434621E+08,-2.218656722878740E+06,-9.298466831744961E+05,6.722053724835517E-01,2.683671133480300E+01,1.154980371611153E+01
2452205.000000000,1.297805312595986E+08,6.537891559979995E+07,2.835282527996264E+07,-1.400270399332703E+01,2.392340958773706E+01,1.027734482323462E+01
2452235.000000000,7.560192904571739E+07,1.154593152717612E+08,5.004348777540842E+07,-2.534410637731344E+01,1.449128155394661E+01,6.213329279306651E+00
2452265.000000000,9.927321614848358E+05,1.341652681900507E+08,5.814137706333135E+07,-3.000824031645893E+01,9.085598950094312E-01,3.729896896868757E-01
2452295.000000000,-7.394607171548775E+07,1.160398971034465E+08,5.028438393374590E+07,-2.650518012305998E+01,-1.303948738014625E+01,-5.618717299533566E+00
2452325.000000000,-1.288125097820939E+08,6.603918714280493E+07,2.862079932772409E+07,-1.584154077034073E+01,-2.340094701420114E+01,-1.006648975652920E+01
2452355.000000000,-1.491043953715292E+08,-2.013160629727617E+06,-8.609643976110801E+05,-1.116990968777066E+00,-2.741557288132088E+01,-1.179095503864477E+01
2452385.000000000,-1.301696177879021E+08,-6.984932106946923E+07,-3.024960959389764E+07,1.365832352653080E+01,-2.425840020480970E+01,-1.044539410095278E+01
2452415.000000000,-7.773929268310139E+07,-1.200329913753756E+08,-5.199545618538920E+07,2.477942393216764E+01,-1.496984641825264E+01,-6.476034042815258E+00
2452445.000000000,-5.645299881430184E+06,-1.402322502385632E+08,-6.075803184345318E+07,2.961394723601750E+01,-1.945581243227685E+00,-8.959487657864302E-01
2452475.000000000,6.793282813684702E+07,-1.257076194867275E+08,-5.448071187812615E+07,2.700075453462302E+01,1.163773847814631E+01,4.951156250715715E+00
2452505.000000000,1.246374975015203E+08,-8.005788969427426E+07,-3.471494363130544E+07,1.747043150932541E+01,2.243964059565323E+01,9.635202779880235E+00
2452535.000000000,1.499680990664407E+08,-1.444339386868417E+07,-6.288755056974872E+06,3.222603455852735E+00,2.765937615212493E+01,1.193651694800201E+01
2452565.000000000,1.367874920293152E+08,5.465261822332499E+07,2.365883626511690E+07,-1.223261138591686E+01,2.572146606798394E+01,1.115310004430517E+01
2452595.000000000,8.766190043566756E+07,1.091236685049004E+08,4.727981287186476E+07,-2.479029565969589E+01,1.682556662412562E+01,7.350643053538970E+00
2452625.000000000,1.503587298721903E+07,1.340202195753175E+08,5.809009694801241E+07,-3.083530420872108E+01,3.163162648133061E+00,1.461905798625924E+00
2452655.000000000,-6.162154174394678E+07,1.221750166263903E+08,5.297604906810284E+07,-2.847438161363389E+01,-1.150924949795270E+01,-4.896457810897243E+00
2452685.000000000,-1.214104425271386E+08,7.676260733598256E+07,3.330587018951791E+07,-1.832595617596829E+01,-2.302026470719287E+01,-9.919986385903997E+00
2452715.000000000,-1.483687268374906E+08,1.038420324444382E+07,4.535202225038167E+06,-3.334001261980385E+00,-2.819417345217918E+01,-1.222396384626186E+01
2452745.000000000,-1.359836702365787E+08,-5.899306159749909E+07,-2.555044419660693E+07,1.230151954827279E+01,-2.580514890525965E+01,-1.125418114051976E+01
2452775.000000000,-8.833899365924522E+07,-1.133571661750292E+08,-4.913985009997360E+07,2.445677995976965E+01,-1.673914759331739E+01,-7.363405621211005E+00
2452805.000000000,-1.821188437394005E+07,-1.392349634564562E+08,-6.038334918008271E+07,3.015100332020921E+01,-3.527653632800011E+00,-1.628538910785482E+00
2452835.000000000,5.657753356801906E+07,-1.305201978585536E+08,-5.662314464841307E+07,2.813898873354030E+01,1.044366539717556E+01,4.476872185069318E+00
2452865.000000000,1.173708294123637E+08,-8.946745012137313E+07,-3.882975228456189E+07,1.900532466016658E+01,2.175816171917338E+01,9.446422062904361E+00
