# JPL Horizons, neptune_bary (COMMAND=8)
# center=SSB(500@0) frame=ICRF/FRAME units=KM-S corr=NONE
# jdtdb,x_km,y_km,z_km,vx_kms,vy_kms,vz_kms
2451545.000000000,2.513978721723721E+09,-3.438170140316856E+09,-1.469851523010959E+09,4.475214621751308E+00,2.877104855637858E+00,1.066200548145841E+00
2451575.000000000,2.525566191862443E+09,-3.430695916939813E+09,-1.467080762345191E+09,4.465727151186515E+00,2.890038291159828E+00,1.071730398612331E+00
2451605.000000000,2.537129012907680E+09,-3.423188205304107E+09,-1.464295681282435E+09,4.456195273486324E+00,2.902944540775652E+00,1.077250228381161E+00
2451635.000000000,2.548667069865344E+09,-3.415647076035976E+09,-1.461496305864778E+09,4.446619073065657E+00,2.915823480729197E+00,1.082759984635675E+00
2451665.000000000,2.560180247961216E+09,-3.408072600082542E+09,-1.458682662271266E+09,4.436998635124263E+00,2.928674987195253E+00,1.088259614521788E+00
2451695.000000000,2.571668432642791E+09,-3.400464848711794E+09,-1.455854776817920E+09,4.427334045549503E+00,2.941498936447333E+00,1.093749065215454E+00
2451725.000000000,2.583131509581281E+09,-3.392823893512238E+09,-1.453012675957627E+09,4.417625391120316E+00,2.954295204861447E+00,1.099228283917661E+00
2451755.000000000,2.594569364674147E+09,-3.385149806393008E+09,-1.450156386280226E+09,4.407872759618903E+00,2.967063668618193E+00,1.104697217736307E+00
2451785.000000000,2.605981884047450E+09,-3.377442659584575E+09,-1.447285934512829E+09,4.398076239598155E+00,2.979804203611025E+00,1.110155813652036E+00
2451815.000000000,2.617368954057529E+09,-3.369702525639216E+09,-1.444401347520043E+09,4.388235920185368E+00,2.992516685685962E+00,1.115604018610233E+00
2451845.000000000,2.628730461292599E+09,-3.361929477430914E+09,-1.441502652303971E+09,4.378351891204913E+00,3.005200990750636E+00,1.121041779566082E+00
2451875.000000000,2.640066292574759E+09,-3.354123588155409E+09,-1.438589876004266E+09,4.368424243293217E+00,3.017856994601253E+00,1.126469043421102E+00
2451905.000000000,2.651376334961965E+09,-3.346284931330585E+09,-1.435663045898305E+09,4.358453067779074E+00,3.030484572893338E+00,1.131885757011464E+00
2451935.000000000,2.662660475749748E+09,-3.338413580796671E+09,-1.432722189401305E+09,4.348438456670260E+00,3.043083601247970E+00,1.137291867142146E+00
2451965.000000000,2.673918602473144E+09,-3.330509610716449E+09,-1.429767334066453E+09,4.338380502762111E+00,3.055653955131575E+00,1.142687320539509E+00
2451995.000000000,2.685150602908626E+09,-3.322573095575834E+09,-1.426798507585175E+09,4.328279299513157E+00,3.068195509749180E+00,1.148072063812207E+00
2452025.000000000,2.696356365075511E+09,-3.314604110184359E+09,-1.423815737787362E+09,4.318134940829962E+00,3.080708140238931E+00,1.153446043531873E+00
2452055.000000000,2.707535777237153E+09,-3.306602729675057E+09,-1.420819052641345E+09,4.307947521139499E+00,3.093191721859409E+00,1.158809206306664E+00
2452085.000000000,2.718688727902619E+09,-3.298569029504255E+09,-1.417808480253856E+09,4.297717135639611E+00,3.105646129841662E+00,1.164161498719821E+00
2452115.000000000,2.729815105828701E+09,-3.290503085451991E+09,-1.414784048870216E+09,4.287443880237336E+00,3.118071239169250E+00,1.169502867247405E+00
2452145.000000000,2.740914800021446E+09,-3.282404973622574E+09,-1.411745786874591E+09,4.277127851328750E+00,3.130466924686665E+00,1.174833258293000E+00
2452175.000000000,2.751987699737374E+09,-3.274274770444717E+09,-1.408693722790088E+09,4.266769145801156E+00,3.142833061241171E+00,1.180152618245913E+00
2452205.000000000,2.763033694484855E+09,-3.266112552671588E+09,-1.405627885278820E+09,4.256367861092464E+00,3.155169523616011E+00,1.185460893457413E+00
2452235.000000000,2.774052674025424E+09,-3.257918397381006E+09,-1.402548303141994E+09,4.245924095083778E+00,3.167476186554568E+00,1.190758030257050E+00
2452265.000000000,2.785044528374838E+09,-3.249692381975326E+09,-1.399455005319896E+09,4.235437946074071E+00,3.179752924916189E+00,1.196043975010405E+00
2452295.000000000,2.796009147804399E+09,-3.241434584181133E+09,-1.396348020891795E+09,4.224909512975841E+00,3.191999613625721E+00,1.201318674094714E+00
2452325.000000000,2.806946422842653E+09,-3.233145082049397E+09,-1.393227379076047E+09,4.214338895339004E+00,3.204216127437159E+00,1.206582073805006E+00
2452355.000000000,2.817856244276706E+09,-3.224823953955939E+09,-1.390093109230304E+09,4.203726193069002E+00,3.216402340981346E+00,1.211834120378041E+00
2452385.000000000,2.828738503152928E+09,-3.216471278601357E+09,-1.386945240851523E+09,4.193071506330491E+00,3.228558129061406E+00,1.217074760106262E+00
2452415.000000000,2.839593090777862E+09,-3.208087135010498E+09,-1.383783803575776E+09,4.182374935744186E+00,3.240683366661417E+00,1.222303939344766E+00
2452445.000000000,2.850419898719558E+09,-3.199671602532205E+09,-1.380608827178174E+09,4.171636582453835E+00,3.252777928777267E+00,1.227521604446916E+00
2452475.000000000,2.861218818808773E+09,-3.191224760839317E+09,-1.377420341572884E+09,4.160856548006552E+00,3.264841690437450E+00,1.232727701770718E+00
2452505.000000000,2.871989743139965E+09,-3.182746689928442E+09,-1.374218376813073E+09,4.150034934342356E+00,3.276874526792545E+00,1.237922177707250E+00
2452535.000000000,2.882732564072434E+09,-3.174237470119727E+09,-1.371002963090846E+09,4.139171843872069E+00,3.288876313026674E+00,1.243104978647635E+00
2452565.000000000,2.893447174231400E+09,-3.165697182056870E+09,-1.367774130737289E+09,4.128267379330169E+00,3.300846924317223E+00,1.248276050973626E+00
2452595.000000000,2.904133466508564E+09,-3.157125906706867E+09,-1.364531910222373E+09,4.117321643599700E+00,3.312786236082363E+00,1.253435341157197E+00
2452625.000000000,2.914791334062689E+09,-3.148523725359147E+09,-1.361276332154637E+09,4.106334739913833E+00,3.324694124092305E+00,1.258582795801133E+00
2452655.000000000,2.925420670320827E+09,-3.139890719624933E+09,-1.358007427280950E+09,4.095306772060517E+00,3.336570464229535E+00,1.263718361544529E+00
2452685.000000000,2.936021368979614E+09,-3.131226971437201E+09,-1.354725226486519E+09,4.084237844215882E+00,3.348415132358498E+00,1.268841985010372E+00
2452715.000000000,2.946593324005971E+09,-3.122532563050513E+09,-1.351429760794854E+09,4.073128060742678E+00,3.360228004518707E+00,1.273953612880206E+00
2452745.000000000,2.957136429637622E+09,-3.113807577040343E+09,-1.348121061367519E+09,4.061977526261868E+00,3.372008957047478E+00,1.279053191943320E+00
2452775.000000000,2.967650580383938E+09,-3.105052096302416E+09,-1.344799159503898E+09,4.050786345751431E+00,3.383757866483256E+00,1.284140669065289E+00
2452805.000000000,2.978135671026726E+09,-3.096266204052226E+09,-1.341464086641004E+09,4.039554624425484E+00,3.395474609575269E+00,1.289215991192813E+00
2452835.000000000,2.988591596620812E+09,-3.087449983824287E+09,-1.338115874353197E+09,4.028282467760352E+00,3.407159063426621E+00,1.294279105404341E+00
2452865.000000000,2.999018252494965E+09,-3.078603519471306E+09,-1.334754554351878E+09,4.016969981675292E+00,3.418811105374767E+00,1.299329958862515E+00
