# JPL Horizons, saturn_bary (COMMAND=6)
# center=SSB(500@0) frame=ICRF/FRAME units=KM-S corr=NONE
# jdtdb,x_km,y_km,z_km,vx_kms,vy_kms,vz_kms
2451545.000000000,9.573174174143425E+08,9.233196218969914E+08,3.401628003886153E+08,-7.422709426014511E+00,6.097474815228996E+00,2.837682288255575E+00
2451575.000000000,9.379134341508976E+08,9.389636703345429E+08,3.474588325439317E+08,-7.549116961015973E+00,5.973158325526633E+00,2.791793957591222E+00
2451605.000000000,9.181848052544782E+08,9.542824605974519E+08,3.546345425918231E+08,-7.673197925176072E+00,5.846510802904064E+00,2.744843527391583E+00
2451635.000000000,8.981376362886019E+08,9.692700042260871E+08,3.616871962910734E+08,-7.794894430886163E+00,5.717573852039191E+00,2.696845550240814E+00
2451665.000000000,8.777781824314364E+08,9.839204226246872E+08,3.686140979478748E+08,-7.914148927211990E+00,5.586390629364336E+00,2.647815213489027E+00
2451695.000000000,8.571128475661678E+08,9.982279510026211E+08,3.754125920348037E+08,-8.030904227771849E+00,5.453005780007009E+00,2.597768318771522E+00
2451725.000000000,8.361481833000919E+08,1.012186942130410E+09,3.820800647481410E+08,-8.145103542597591E+00,5.317465350638292E+00,2.546721251992455E+00
2451755.000000000,8.148908878409845E+08,1.025791869815046E+09,3.886139454686191E+08,-8.256690563108153E+00,5.179816667622211E+00,2.494690942600950E+00
2451785.000000000,7.933478045984894E+08,1.039037332090176E+09,3.950117081337915E+08,-8.365609576840157E+00,5.040108247860515E+00,2.441694838934588E+00
2451815.000000000,7.715259205155418E+08,1.051918054223084E+09,4.012708725638118E+08,-8.471805560252664E+00,4.898389737369665E+00,2.387750892767470E+00
2451845.000000000,7.494323641557106E+08,1.064428891549194E+09,4.073890057401226E+08,-8.575224280674687E+00,4.754711838896826E+00,2.332877538657465E+00
2451875.000000000,7.270744034969275E+08,1.076564832117726E+09,4.133637230311857E+08,-8.675812419542940E+00,4.609126242270932E+00,2.277093675331890E+00
2451905.000000000,7.044594433965133E+08,1.088320999183520E+09,4.191926893814458E+08,-8.773517699201349E+00,4.461685577216631E+00,2.220418656340914E+00
2451935.000000000,6.815950227402654E+08,1.099692653609241E+09,4.248736204872270E+08,-8.868288997676789E+00,4.312443390016133E+00,2.162872288331299E+00
2451965.000000000,6.584888113110157E+08,1.110675196211565E+09,4.304042839656770E+08,-8.960076455155402E+00,4.161454118583909E+00,2.104474825746290E+00
2451995.000000000,6.351486063639430E+08,1.121264170045622E+09,4.357825005108018E+08,-9.048831592287826E+00,4.008773078670814E+00,2.045246970023110E+00
2452025.000000000,6.115823289236057E+08,1.131455262716613E+09,4.410061450714505E+08,-9.134507396681670E+00,3.854456497502259E+00,1.985209886146394E+00
2452055.000000000,5.877980199204202E+08,1.141244308786209E+09,4.460731480704497E+08,-9.217058367630612E+00,3.698561541937117E+00,1.924385213692685E+00
2452085.000000000,5.638038362140894E+08,1.150627292209178E+09,4.509814966342072E+08,-9.296440563478233E+00,3.541146315417937E+00,1.862795064960451E+00
2452115.000000000,5.396080464773488E+08,1.159600348748105E+09,4.557292358129669E+08,-9.372611659996654E+00,3.382269850201196E+00,1.800462022018618E+00
2452145.000000000,5.152190269351119E+08,1.168159768392431E+09,4.603144698031651E+08,-9.445530999581528E+00,3.221992120893038E+00,1.737409142000834E+00
2452175.000000000,4.906452570157900E+08,1.176301997835510E+09,4.647353631898809E+08,-9.515159608144591E+00,3.060374067630275E+00,1.673659963823538E+00
