# JPL Horizons, sun (COMMAND=10)
# center=SSB(500@0) frame=ICRF/FRAME units=KM-S corr=NONE
# jdtdb,x_km,y_km,z_km,vx_kms,vy_kms,vz_kms
2451545.000000000,-1.067706805380953E+06,-3.960361847959462E+05,-1.380651842868809E+05,9.312571926520472E-03,-1.170150612817771E-02,-5.251266205200356E-03
2451575.000000000,-1.043007347943805E+06,-4.258771215413095E+05,-1.514810985406124E+05,9.746941787582498E-03,-1.132890650367426E-02,-5.103314456414571E-03
2451605.000000000,-1.017169943174763E+06,-4.547621124097330E+05,-1.645196599151356E+05,1.018450393937086E-02,-1.095922946463060E-02,-4.956958596051486E-03
2451635.000000000,-9.901979784551506E+05,-4.827083117230433E+05,-1.771899075197402E+05,1.063448033002042E-02,-1.060213370542866E-02,-4.819457659500345E-03
2451665.000000000,-9.620118957053467E+05,-5.096904822618153E+05,-1.894919409703672E+05,1.111780183575289E-02,-1.020741843874164E-02,-4.668642923204459E-03
2451695.000000000,-9.325830729084642E+05,-5.355513278108661E+05,-2.013560182095688E+05,1.157421315041398E-02,-9.739196548893611E-03,-4.480906286965996E-03
2451725.000000000,-9.020637665153568E+05,-5.601741760789913E+05,-2.127173414150572E+05,1.196729265223008E-02,-9.259054323864821E-03,-4.284934461552035E-03
2451755.000000000,-8.705787585027011E+05,-5.835530863266219E+05,-2.235688573439590E+05,1.232282604730902E-02,-8.781155592012970E-03,-4.088313414507067E-03
2451785.000000000,-8.382143861154600E+05,-6.056906797799557E+05,-2.339044971559244E+05,1.263997306665949E-02,-8.306443864242728E-03,-3.888754976205127E-03
2451815.000000000,-8.050444658158300E+05,-6.266510857766159E+05,-2.437482650893839E+05,1.296128370269335E-02,-7.868161228008199E-03,-3.708310994790200E-03
2451845.000000000,-7.709818545892497E+05,-6.464608599410319E+05,-2.531247946342562E+05,1.332956800359150E-02,-7.407525010985000E-03,-3.523104105049138E-03
2451875.000000000,-7.359508856510377E+05,-6.649756629331799E+05,-2.619766473145517E+05,1.369046323217380E-02,-6.870397479682400E-03,-3.303104234061334E-03
2451905.000000000,-7.000415814297311E+05,-6.820388058790461E+05,-2.702333236227312E+05,1.400939611966641E-02,-6.286207372354427E-03,-3.063751631447409E-03
2451935.000000000,-6.633844437924279E+05,-6.975214831324527E+05,-2.778395224132575E+05,1.426212774235439E-02,-5.652957025496949E-03,-2.801368930240297E-03
2451965.000000000,-6.262186600297710E+05,-7.113244592362780E+05,-2.847389520885514E+05,1.439180117861183E-02,-5.007630208115407E-03,-2.525761035950804E-03
2451995.000000000,-5.888393772769191E+05,-7.235497364438127E+05,-2.909632132687339E+05,1.444463075898520E-02,-4.438224913910800E-03,-2.282659327964651E-03
2452025.000000000,-5.513369421205783E+05,-7.343912503534394E+05,-2.965997654808873E+05,1.449776789793371E-02,-3.933581686622304E-03,-2.069577673554419E-03
2452055.000000000,-5.136801937104614E+05,-7.439610339207859E+05,-3.016980734068857E+05,1.456091877347200E-02,-3.459786163581847E-03,-1.868825735740370E-03
2452085.000000000,-4.758010374423611E+05,-7.523427768112094E+05,-3.062997917571050E+05,1.467709110685275E-02,-3.003896628970901E-03,-1.680971205924731E-03
2452115.000000000,-4.375525405570847E+05,-7.594888475396576E+05,-3.103948528224161E+05,1.483947931357559E-02,-2.495188739630332E-03,-1.471996310270748E-03
2452145.000000000,-3.989216519592770E+05,-7.652103756494710E+05,-3.138946183626504E+05,1.495670539350194E-02,-1.916341423516529E-03,-1.226628328339697E-03
2452175.000000000,-3.600629802081510E+05,-7.694043427519694E+05,-3.167445251217385E+05,1.501658402462540E-02,-1.316891821956493E-03,-9.707473267531855E-04
2452205.000000000,-3.211267401638120E+05,-7.720312921089735E+05,-3.189222808135081E+05,1.501664280860873E-02,-7.077968488192790E-04,-7.077968170418702E-04
2452235.000000000,-2.823000838135341E+05,-7.730946805538756E+05,-3.204174647155976E+05,1.493353644674744E-02,-1.258260760409612E-04,-4.520318867607183E-04
2452265.000000000,-2.437147882785259E+05,-7.727305126662373E+05,-3.212902405648381E+05,1.484157479153289E-02,4.014762377379187E-04,-2.245382456692379E-04
2452295.000000000,-2.053385298236550E+05,-7.710176675946062E+05,-3.215868694925988E+05,1.477175702955331E-02,9.264744903310015E-04,-1.494774868806607E-06
2452325.000000000,-1.671733841511070E+05,-7.679151014491703E+05,-3.212901394235109E+05,1.467385196837034E-02,1.465014515048079E-03,2.287879905876191E-04
2452355.000000000,-1.292790383489623E+05,-7.634140284767526E+05,-3.203987101864835E+05,1.456127735339703E-02,2.011323725884038E-03,4.605334420013222E-04
2452385.000000000,-9.172064848557426E+04,-7.574677101579838E+05,-3.188913140229226E+05,1.440674194594652E-02,2.582726583688520E-03,7.065998496233177E-04
2452415.000000000,-5.469058022687623E+04,-7.500517600051865E+05,-3.167401325395053E+05,1.415562933118231E-02,3.126202644298041E-03,9.475732842083385E-04
2452445.000000000,-1.836176815920695E+04,-7.413237009333409E+05,-3.140063009315984E+05,1.387553275651919E-02,3.596840862974974E-03,1.156690648059500E-03
2452475.000000000,1.726214890267041E+04,-7.314474838495991E+05,-3.107627574391044E+05,1.361468072040659E-02,4.021512657630817E-03,1.345684362143195E-03
2452505.000000000,5.222230505403109E+04,-7.205151739674255E+05,-3.070471757992695E+05,1.337085300297186E-02,4.407350803682032E-03,1.517273542240805E-03
2452535.000000000,8.663370374298526E+04,-7.085945611364796E+05,-3.028996998036106E+05,1.319040240678185E-02,4.797015624107608E-03,1.685050943475014E-03
2452565.000000000,1.206288327734696E+05,-6.955845647324106E+05,-2.982850225971117E+05,1.303417986733604E-02,5.258047209116250E-03,1.883999992963015E-03
2452595.000000000,1.541358413418171E+05,-6.813029507817352E+05,-2.931147874420796E+05,1.281018969172573E-02,5.764893963818189E-03,2.106710926405328E-03
2452625.000000000,1.869742397336664E+05,-6.656862660879444E+05,-2.873567417663389E+05,1.251453390454892E-02,6.284538950406834E-03,2.336428048103352E-03
2452655.000000000,2.189403069259580E+05,-6.487329697631815E+05,-2.810028817132887E+05,1.213105366753598E-02,6.792198019612429E-03,2.565836002337929E-03
