# JPL Horizons, uranus_bary (COMMAND=7)
# center=SSB(500@0) frame=ICRF/FRAME units=KM-S corr=NONE
# jdtdb,x_km,y_km,z_km,vx_kms,vy_kms,vz_kms
2451545.000000000,2.157907312953845E+09,-1.871306838939559E+09,-8.501068000312823E+08,4.646336807878125E+00,4.251152675974153E+00,1.796172785811120E+00
2451575.000000000,2.169914178025344E+09,-1.860256377771337E+09,-8.454368198781198E+08,4.618195725795190E+00,4.275411833564290E+00,1.807195957219468E+00
2451605.000000000,2.181847916380955E+09,-1.849143238487870E+09,-8.407383533481026E+08,4.589912033393245E+00,4.299515327520545E+00,1.818152972386501E+00
2451635.000000000,2.193708159625217E+09,-1.837967825280603E+09,-8.360115722477952E+08,4.561486696148346E+00,4.323462609626204E+00,1.829043577267693E+00
2451665.000000000,2.205494541869464E+09,-1.826730543757336E+09,-8.312566490402735E+08,4.532920682664895E+00,4.347253135186824E+00,1.839867519327816E+00
2451695.000000000,2.217206699738475E+09,-1.815431800932712E+09,-8.264737568410237E+08,4.504214963614177E+00,4.370886363564416E+00,1.850624547776742E+00
2451725.000000000,2.228844272375972E+09,-1.804072005216446E+09,-8.216630694129297E+08,4.475370512211396E+00,4.394361758933605E+00,1.861314413858327E+00
2451755.000000000,2.240406901453129E+09,-1.792651566401860E+09,-8.168247611614424E+08,4.446388305550499E+00,4.417678789262799E+00,1.871936870412404E+00
2451785.000000000,2.251894231178562E+09,-1.781170895657783E+09,-8.119590071311580E+08,4.417269324197681E+00,4.440836925166655E+00,1.882491671402306E+00
2451815.000000000,2.263305908305307E+09,-1.769630405521372E+09,-8.070659830027744E+08,4.388014550690214E+00,4.463835640411149E+00,1.892978572127299E+00
2451845.000000000,2.274641582135295E+09,-1.758030509888559E+09,-8.021458650890354E+08,4.358624969360961E+00,4.486674412880064E+00,1.903397329636711E+00
2451875.000000000,2.285900904525278E+09,-1.746371624003468E+09,-7.971988303302044E+08,4.329101567289101E+00,4.509352724264936E+00,1.913747702623791E+00
2451905.000000000,2.297083529893970E+09,-1.734654164449469E+09,-7.922250562901727E+08,4.299445334077149E+00,4.531870059507188E+00,1.924029451199250E+00
2451935.000000000,2.308189115227699E+09,-1.722878549140261E+09,-7.872247211526154E+08,4.269657261339921E+00,4.554225907281487E+00,1.934242337062323E+00
2451965.000000000,2.319217320086445E+09,-1.711045197310030E+09,-7.821980037168336E+08,4.239738343437246E+00,4.576419759879366E+00,1.944386123435485E+00
2451995.000000000,2.330167806611362E+09,-1.699154529505255E+09,-7.771450833942791E+08,4.209689577526468E+00,4.598451112330429E+00,1.954460574718951E+00
