# JPL Horizons, venus (COMMAND=299)
# center=SSB(500@0) frame=ICRF/FRAME units=KM-S corr=NONE
# jdtdb,x_km,y_km,z_km,vx_kms,vy_kms,vz_kms
2451545.000000000,-1.085242008575715E+08,-7.318564959678600E+06,3.548121861333776E+06,1.391218601189967E+00,-3.202951993781091E+01,-1.449708673947320E+01
2451575.000000000,-6.940891795830749E+07,-7.857957933343911E+07,-3.098513293158023E+07,2.692311128372304E+01,-1.970995383358615E+01,-1.057049818300056E+01
2451605.000000000,1.506338500220737E+07,-9.821865884253716E+07,-4.516485093898371E+07,3.441228963962617E+01,5.387055059727247E+00,2.463472644220042E-01
2451635.000000000,8.911300493310186E+07,-5.395188332769609E+07,-2.993456157482393E+07,1.940643203961762E+01,2.676988660525943E+01,1.081586765718328E+01
2451665.000000000,1.044014083012162E+08,2.514475304105461E+07,4.684019141413683E+06,-8.344734703573913E+00,3.070001953416706E+01,1.434026237911670E+01
2451695.000000000,5.041203237904099E+07,8.724314369855183E+07,3.603968528956957E+07,-3.090541945045576E+01,1.432967572713395E+01,8.403259421124817E+00
2451725.000000000,-3.771627446165141E+07,9.068437829393473E+07,4.316683523598571E+07,-3.300709846963650E+01,-1.188731013285026E+01,-3.258398005915828E+00
2451755.000000000,-1.009503560538233E+08,3.259153181611013E+07,2.103516622849433E+07,-1.283343921801805E+01,-3.022395286398598E+01,-1.278452697584279E+01
2451785.000000000,-9.673941673174885E+07,-4.792997920849869E+07,-1.545521633259881E+07,1.582734498149729E+01,-2.817976368625590E+01,-1.367871361705693E+01
2451815.000000000,-2.853745522951524E+07,-9.703380407439692E+07,-4.186096609626380E+07,3.363750809841990E+01,-7.524318218007919E+00,-5.513246075707152E+00
2451845.000000000,5.801125580809548E+07,-8.283108805226070E+07,-4.094704240161738E+07,2.925283055250010E+01,1.780487804886422E+01,6.159517801307741E+00
2451875.000000000,1.062708269577195E+08,-1.505176788598997E+07,-1.350651523222772E+07,5.801096477905062E+00,3.145668984977083E+01,1.378547130353326E+01
2451905.000000000,8.451492666132498E+07,6.205203285953302E+07,2.256001915927202E+07,-2.166584350741707E+01,2.452020642725111E+01,1.240312851772216E+01
2451935.000000000,6.384986149238158E+06,9.747014670903543E+07,4.344042590924036E+07,-3.505029098703773E+01,1.114406620560025E+00,2.720216267086465E+00
2451965.000000000,-7.636394253706613E+07,6.692686586121002E+07,3.493795209708636E+07,-2.492886903719917E+01,-2.328249834573291E+01,-8.896205001380871E+00
2451995.000000000,-1.079611663168278E+08,-9.308556774688289E+06,2.641847753943910E+06,1.987522473799435E+00,-3.197896422968993E+01,-1.451215101372163E+01
2452025.000000000,-6.751740287021731E+07,-7.990056337608409E+07,-3.167476271742683E+07,2.729223151888978E+01,-1.927690078074972E+01,-1.039913184932340E+01
2452055.000000000,1.733833136544777E+07,-9.822074762634057E+07,-4.528551854098868E+07,3.432504823203015E+01,5.912828177876206E+00,4.884191345384076E-01
2452085.000000000,9.061325417749920E+07,-5.284045285324237E+07,-2.950505827266554E+07,1.893105594355611E+01,2.705578749377300E+01,1.097469612733754E+01
2452115.000000000,1.044812040513387E+08,2.646661501875567E+07,5.298441858580675E+06,-8.902679287222215E+00,3.056672761534770E+01,1.431573864060455E+01
2452145.000000000,4.934421209755350E+07,8.773435116863874E+07,3.635326372066860E+07,-3.117874661424638E+01,1.385843237058185E+01,8.208577858985032E+00
2452175.000000000,-3.887716504105059E+07,8.984066528640503E+07,4.288560218047424E+07,-3.279813030551458E+01,-1.238253598233782E+01,-3.494552665986753E+00
2452205.000000000,-1.010526018724578E+08,3.082420631898686E+07,2.027090026920295E+07,-1.227564351850629E+01,-3.039580704639102E+01,-1.289738911337242E+01
2452235.000000000,-9.534952414563416E+07,-4.955836190118063E+07,-1.625206538813070E+07,1.635054389972092E+01,-2.790825718867010E+01,-1.358991995322260E+01
2452265.000000000,-2.623239467287394E+07,-9.756174161382188E+07,-4.222116741962354E+07,3.378128408459278E+01,-6.997884101630343E+00,-5.285649557948010E+00
2452295.000000000,6.007744804240949E+07,-8.203223001445678E+07,-4.069542272969144E+07,2.893759268536038E+01,1.824480527854776E+01,6.377362095716627E+00
2452325.000000000,1.071245294974791E+08,-1.354024460478021E+07,-1.285752682950619E+07,5.233899430733059E+00,3.153627713783343E+01,1.385719027369290E+01
2452355.000000000,8.396167850516105E+07,6.321763096976375E+07,2.314239599783029E+07,-2.212091710961791E+01,2.418811473606132E+01,1.228246881395106E+01
2452385.000000000,5.152373480523475E+06,9.744899185042559E+07,4.353155701930121E+07,-3.508550249551544E+01,5.853633450727629E-01,2.484226016964400E+00
2452415.000000000,-7.706720983219402E+07,6.567190200718431E+07,3.443978133014803E+07,-2.450884127049933E+01,-2.364528539379512E+01,-9.086336735493695E+00
2452445.000000000,-1.072711158083875E+08,-1.098283247615783E+07,1.865976874594110E+06,2.575878924709100E+00,-3.191946068539152E+01,-1.452292520037990E+01
